"date","t","dailyconfirmed","dailydeceased","dailyrecovered","totalconfirmed","totaldeceased","totalrecovered"
2020-06-13,135,"12039","309","8092","321638","9198","162327"
2020-06-14,136,"11405","324","7358","333043","9522","169685"
2020-06-15,137,"10032","396","10639","343075","9918","180324"
2020-06-16,138,"11086","2004","7226","354161","11922","187550"
2020-06-17,139,"13108","341","6890","367269","12263","194440"
2020-06-18,140,"13829","343","10741","381098","12606","205181"
2020-06-19,141,"14740","364","9029","395838","12970","214210"
2020-06-20,142,"15918","308","13974","411753","13278","228184"
2020-06-21,143,"15151","426","9075","426904","13704","237259"
2020-06-22,144,"13560","312","10879","440464","14016","248138"
2020-06-23,145,"15656","468","10462","456120","14484","258600"
2020-06-24,146,"16868","424","13089","472988","14908","271689"
2020-06-25,147,"18205","401","13983","491193","15309","285672"
2020-06-26,148,"18255","381","10246","509448","15690","295918"
2020-06-27,149,"20142","414","14229","529590","16104","310147"
2020-06-28,150,"19610","384","11631","549200","16488","321778"
2020-06-29,151,"18339","417","13497","567539","16905","335275"
2020-06-30,152,"18256","506","12565","585795","17411","347840"
2020-07-01,153,"19429","438","12064","605224","17849","359904"
2020-07-02,154,"21947","378","19999","627171","18227","379903"
2020-07-03,155,"22718","444","14417","649889","18671","394320"
2020-07-04,156,"24018","611","14746","673907","19282","409066"
2020-07-05,157,"23942","421","15829","697849","19703","424895"
2020-07-06,158,"22500","473","15315","720349","20176","440210"
2020-07-07,159,"23147","479","16836","743496","20655","457046"
2020-07-08,160,"25561","492","19508","769057","21147","476554"
2020-07-09,161,"25790","479","19408","794847","21626","495962"
2020-07-10,162,"27762","520","20289","822609","22146","516251"
2020-07-11,163,"27757","543","19981","850366","22689","536232"
2020-07-12,164,"29106","500","18198","879472","23189","554430"
2020-07-13,165,"28178","541","17683","907650","23730","572113"
2020-07-14,166,"29917","587","20977","937567","24317","593090"
2020-07-15,167,"32607","614","20646","970174","24931","613736"
2020-07-16,168,"35468","680","22867","1005642","25611","636603"
2020-07-17,169,"34820","676","17476","1040462","26287","654079"
2020-07-18,170,"37411","543","23583","1077873","26830","677662"
2020-07-19,171,"40235","675","22730","1118108","27505","700392"
2020-07-20,172,"36806","596","24303","1154914","28101","724695"
2020-07-21,173,"39170","671","27589","1194084","28772","752284"
2020-07-22,174,"45601","1130","31875","1239685","29902","784159"
2020-07-23,175,"48443","755","33326","1288128","30657","817485"
2020-07-24,176,"48888","763","32514","1337016","31420","849999"
2020-07-25,177,"50072","703","37125","1387088","32123","887124"
2020-07-26,178,"48932","704","31512","1436020","32827","918636"
2020-07-27,179,"46484","642","34354","1482504","33469","952990"
